Wvl,FSR,ng,vg,GVD,Finesse,root1,root2,kappa1,kappa2
1546.4861260894918,2.004661406193236e-09,2.3734559268383406,126310522.39480631,1.4499556738466246e-20,19.26464915211151,0.9320391122143432,0.9108084592013435,0.3623576869651021,0.41282920275493434
1548.490787495685,2.0043036240121864e-09,2.3800379653269865,125961208.33678062,1.0127048115733535e-20,19.01398078655569,0.9323892548910948,0.9084845117163853,0.36145577511450694,0.41791852312555006
1550.4947334652038,2.0091627783598205e-09,2.380431078130034,125940406.657564,5.7218179782740705e-21,18.55392794417528,0.9317046606893141,0.9053825068780305,0.3632167744609409,0.4245968867517203
1552.5091402848032,2.0159492172757903e-09,2.378586163913856,126038090.42036344,-1.1121697290036874e-20,18.65439089843498,0.9278383717416046,0.9099966169433475,0.37298251423342627,0.4146156740303752
1554.5266342635416,2.020543346877368e-09,2.3793498714196955,125997635.57308272,1.3260182893032955e-20,18.8754145783522,0.934059228661991,0.9057456848222986,0.35711812800719933,0.42382160684158776
1556.5502362105278,2.0284570778532406e-09,2.376241659774981,126162445.12285376,-4.082752527641185e-21,18.783646618557324,0.9356645282464724,0.9034464370483417,0.3528907629583216,0.4287009859851698
1558.583571772643,2.036127310616495e-09,2.373479057227806,126309291.45427297,-4.52604478564466e-22,17.996536748025243,0.9229831468973996,0.9090859532050538,0.3848403702100045,0.41660860491024276
1560.6224985083838,2.0431510986610017e-09,2.3715123261411213,126414041.662527,-1.886650142475418e-21,18.025695601439768,0.9283962118745572,0.904044661203302,0.37159181069686154,0.4274380078441866
1562.6698915108518,2.0487987292802877e-09,2.371184446572165,126431521.77949986,-7.915471060052223e-21,18.198247735479118,0.9334818978589089,0.9006290731753629,0.3586245200341572,0.43458862450746094
1564.7200978985966,2.0502063877447656e-09,2.3757781513429297,126187059.10336773,-1.400009070583977e-20,18.14786340925675,0.9351569540927269,0.8985785690335468,0.3542336393004107,0.4388126653523384
